,Unnamed: 0,Player,Team,Uptox_Points,Matches,Runs,Wkts
194,194,Kane Williamson,GT,0.0,1,0,-
195,195,Abdul Basith,RR,-0.3,1,1,-
196,196,Sarfaraz Khan,DC,-0.7,4,53,-
197,197,Romario Shepherd,LSG,-0.7,1,0,-
198,198,Raghav Goyal,MI,-1.7,1,0,-
199,199,Gurnoor Brar,PBKS,-3.5,1,0,-
200,200,Kedar Jadhav,RCB,-3.5,2,12,-
201,201,Yash Dhull,DC,-8.1,4,16,-
202,202,Shahbaz Ahmed,RCB,-8.6,10,42,1
203,203,Murugan Ashwin,RR,-8.9,2,0,-
204,204,Karan Sharma,LSG,-9.0,2,12,-
205,205,Ben Stokes,CSK,-9.8,2,15,-
206,206,Mohit Rathee,PBKS,-9.9,1,1,-
207,207,Jaydev Unadkat,LSG,-11.5,3,9,-
208,208,Kartik Tyagi,SRH,-13.6,3,0,1
